q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
0,1,6,0,0,2/7/2025 17:31,,59:59.0,91,4.510859507
0,0,0,0,1,4/30/2025 16:35,,59:59.0,62,4.127134385
1,1,2,0,1,1/22/2025 16:37,,59:59.0,91,4.510859507
0,0,0,0,1,3/19/2025 16:37,,59:59.0,91,4.510859507
3,1,6,0,1,2/5/2025 16:19,,59:59.0,91,4.510859507
0,0,0,0,0,3/5/2025 16:32,,59:59.0,91,4.510859507
1,1,2,0,1,2/28/2025 17:31,,59:59.0,91,4.510859507
0,1,2,0,0,2/21/2025 17:31,,59:59.0,91,4.510859507
1,0,1,0,1,5/2/2025 14:35,,59:59.0,60,4.094344562
0,1,1,0,0,2/3/2025 18:08,,59:59.0,91,4.510859507
0,0,0,0,1,2/5/2025 16:31,,59:59.0,91,4.510859507
1,0,1,0,0,2/28/2025 14:21,,59:59.0,91,4.510859507
3,0,3,0,1,3/14/2025 14:28,,59:59.0,91,4.510859507
0,0,0,0,1,1/29/2025 16:44,,59:59.0,91,4.510859507
0,0,0,0,0,4/18/2025 17:36,,59:59.0,74,4.304065093
0,0,0,0,1,1/31/2025 17:33,,59:59.0,91,4.510859507
0,1,1,0,1,2/12/2025 16:32,,59:59.0,91,4.510859507
1,0,1,0,0,2/28/2025 14:49,,59:59.0,91,4.510859507
0,0,0,1,0,4/25/2025 14:34,,59:59.0,67,4.204692619
1,1,3,0,0,3/19/2025 16:29,,59:59.0,91,4.510859507
4,0,4,0,1,3/14/2025 18:59,,59:59.0,91,4.510859507
1,0,1,0,1,5/14/2025 16:30,,59:59.0,48,3.871201011
0,1,1,0,1,1/22/2025 16:39,,59:59.0,91,4.510859507
0,0,0,0,0,1/8/2025 16:29,,59:59.0,91,4.510859507
3,0,3,1,1,5/13/2025 16:36,,59:59.0,49,3.891820298
0,0,0,0,1,4/9/2025 16:28,,59:59.0,83,4.418840608
0,0,0,1,0,4/11/2025 14:24,,59:59.0,81,4.394449155
0,0,0,0,0,3/21/2025 17:37,,59:59.0,91,4.510859507
6,1,7,0,0,3/5/2025 16:18,,59:59.0,91,4.510859507
5,1,8,0,0,3/14/2025 14:36,,59:59.0,91,4.510859507
0,0,0,0,1,4/27/2025 14:22,,59:59.0,65,4.17438727
1,0,1,0,1,4/9/2025 16:31,,59:59.0,83,4.418840608
1,0,1,0,0,5/23/2025 17:25,,59:59.0,39,3.663561646
2,0,2,0,0,3/21/2025 17:30,,59:59.0,91,4.510859507
1,0,1,0,1,4/18/2025 14:32,,59:59.0,74,4.304065093
0,0,0,0,0,3/14/2025 17:26,,59:59.0,91,4.510859507
0,0,0,0,0,3/7/2025 17:25,,59:59.0,91,4.510859507
