q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
6,0,6,0,1,2/7/2025 17:31,,59:59.0,53,3.970291914
0,0,0,0,1,11/27/2024 19:06,,59:59.0,90,4.49980967
2,0,2,0,0,12/19/2024 16:40,,59:59.0,90,4.49980967
0,1,10,0,0,10/16/2024 16:20,,59:59.0,90,4.49980967
1,0,1,0,0,1/22/2025 16:37,,59:59.0,69,4.234106505
0,1,1,0,1,12/19/2024 16:45,,59:59.0,90,4.49980967
0,1,6,0,0,11/23/2024 16:03,,59:59.0,90,4.49980967
0,0,0,0,0,10/2/2024 16:30,,59:59.0,90,4.49980967
3,0,3,1,0,2/5/2025 16:19,,59:59.0,55,4.007333185
0,0,0,0,0,12/5/2024 16:39,,59:59.0,90,4.49980967
1,0,1,0,0,2/28/2025 17:31,,59:59.0,32,3.465735903
2,0,2,0,0,2/21/2025 17:31,,59:59.0,39,3.663561646
1,0,1,0,0,2/3/2025 18:08,,59:59.0,57,4.043051268
2,1,4,1,0,12/4/2024 16:39,,59:59.0,90,4.49980967
0,0,0,1,1,2/5/2025 16:31,,59:59.0,55,4.007333185
3,0,3,0,0,12/19/2024 16:50,,59:59.0,90,4.49980967
0,0,0,0,1,2/28/2025 14:21,,59:59.0,32,3.465735903
0,0,0,1,1,1/29/2025 16:44,,59:59.0,62,4.127134385
0,0,0,0,0,1/31/2025 17:33,,59:59.0,60,4.094344562
0,0,0,0,0,12/11/2024 16:38,,59:59.0,90,4.49980967
1,0,1,0,0,2/12/2025 16:32,,59:59.0,48,3.871201011
0,0,0,0,0,10/2/2024 16:37,,59:59.0,90,4.49980967
0,0,1,0,0,2/28/2025 14:49,,59:59.0,32,3.465735903
0,1,7,0,1,10/24/2024 16:39,,59:59.0,90,4.49980967
1,0,1,0,1,11/6/2024 16:24,,59:59.0,90,4.49980967
0,0,0,0,0,12/18/2024 16:38,,59:59.0,90,4.49980967
0,0,0,0,0,12/5/2024 16:39,,59:59.0,90,4.49980967
1,0,1,0,1,1/22/2025 16:39,,59:59.0,69,4.234106505
0,0,0,0,0,1/8/2025 16:29,,59:59.0,83,4.418840608
1,0,1,0,1,12/18/2024 16:40,,59:59.0,90,4.49980967
0,0,0,0,0,11/20/2024 16:40,,59:59.0,90,4.49980967
0,0,0,0,0,10/23/2024 16:50,,59:59.0,90,4.49980967
3,1,11,0,0,10/9/2024 16:37,38:02.7,38:02.7,70,4.248495242
0,0,0,0,0,12/13/2024 15:32,,59:59.0,90,4.49980967
0,1,1,0,0,10/23/2024 16:42,,59:59.0,90,4.49980967
0,0,0,0,1,11/27/2024 16:40,,59:59.0,90,4.49980967
2,0,2,0,0,12/5/2024 16:40,,59:59.0,90,4.49980967
0,0,0,0,0,2/21/2025 14:38,,59:59.0,39,3.663561646
1,0,1,0,1,1/8/2025 16:30,,59:59.0,83,4.418840608
1,0,1,0,0,1/29/2025 16:41,,59:59.0,62,4.127134385
6,0,6,0,0,2/5/2025 14:39,,59:59.0,55,4.007333185
0,0,0,0,0,2/12/2025 17:29,,59:59.0,48,3.871201011
1,0,1,0,0,2/12/2025 16:34,,59:59.0,48,3.871201011
0,0,0,0,0,1/8/2025 16:38,,59:59.0,83,4.418840608
1,0,2,0,0,12/4/2024 16:40,,59:59.0,90,4.49980967
0,0,0,0,0,10/23/2024 16:36,,59:59.0,90,4.49980967
0,0,1,0,1,1/29/2025 16:37,,59:59.0,62,4.127134385
1,0,2,0,0,1/29/2025 16:39,,59:59.0,62,4.127134385
0,0,0,0,0,10/23/2024 16:37,,59:59.0,90,4.49980967
2,0,2,0,0,2/19/2025 16:15,,59:59.0,41,3.713572067
0,0,0,0,0,11/27/2024 16:40,,59:59.0,90,4.49980967
7,1,8,1,0,11/6/2024 16:43,,59:59.0,90,4.49980967
5,0,5,0,1,1/29/2025 12:43,,59:59.0,62,4.127134385
0,0,0,0,0,2/12/2025 16:27,,59:59.0,48,3.871201011
1,0,1,0,0,10/2/2024 16:56,,59:59.0,90,4.49980967
0,0,0,0,0,10/2/2024 16:32,,59:59.0,90,4.49980967
0,0,0,0,1,11/27/2024 16:44,,59:59.0,90,4.49980967
2,0,2,0,0,1/29/2025 12:37,,59:59.0,62,4.127134385
0,0,0,0,0,2/28/2025 17:27,,59:59.0,32,3.465735903
0,0,0,0,0,2/26/2025 17:24,,59:59.0,34,3.526360525
1,1,3,0,0,10/2/2024 16:37,,59:59.0,90,4.49980967
0,1,3,1,0,12/4/2024 16:39,,59:59.0,90,4.49980967
2,1,10,0,0,10/16/2024 16:34,,59:59.0,90,4.49980967
0,0,0,0,0,10/23/2024 16:42,,59:59.0,90,4.49980967
0,0,0,0,1,12/19/2024 16:41,,59:59.0,90,4.49980967
0,0,0,0,0,11/27/2024 16:40,,59:59.0,90,4.49980967
2,0,2,0,0,1/29/2025 17:12,,59:59.0,62,4.127134385
0,0,0,0,0,11/20/2024 16:40,,59:59.0,90,4.49980967
2,0,2,1,0,2/28/2025 14:42,,59:59.0,32,3.465735903
