q1_completions,prior_before_q1,ever_completions,tutored,multi_interest,enroll_date,module12_date,exposure_end,exposure_days_q1,offset_log_days
5,0,5,0,1,1/29/2025 16:39,,59:59.0,153,5.030437921
0,0,0,0,0,3/7/2025 14:53,,59:59.0,116,4.753590191
0,0,0,0,0,10/23/2024 16:37,,59:59.0,181,5.198497031
1,0,1,0,0,3/19/2025 16:25,,59:59.0,104,4.644390899
5,0,6,0,0,2/19/2025 16:15,,59:59.0,132,4.882801923
2,0,2,1,0,3/28/2025 17:31,,59:59.0,95,4.553876892
0,0,0,0,0,3/26/2025 16:31,,59:59.0,97,4.574710979
1,0,1,0,1,5/9/2025 14:37,,59:59.0,53,3.970291914
10,1,11,1,0,11/6/2024 16:43,,59:59.0,181,5.198497031
0,0,0,0,1,4/2/2025 16:29,,59:59.0,90,4.49980967
12,0,12,0,0,1/29/2025 12:43,49:22.4,49:22.4,71,4.262679877
1,0,1,0,0,5/2/2025 17:37,,59:59.0,60,4.094344562
0,0,0,0,1,2/12/2025 16:27,,59:59.0,139,4.934473933
1,0,1,0,0,10/2/2024 16:56,,59:59.0,181,5.198497031
2,0,2,0,0,3/23/2025 10:09,,59:59.0,100,4.605170186
0,0,0,0,0,10/2/2024 16:32,,59:59.0,181,5.198497031
12,0,12,0,1,1/29/2025 12:37,49:29.3,49:29.3,71,4.262679877
0,0,0,0,0,2/28/2025 17:27,,59:59.0,123,4.812184355
0,0,0,0,1,2/26/2025 17:24,,59:59.0,125,4.828313737
12,0,12,0,0,4/4/2025 17:26,45:09.5,45:09.5,22,3.091042453
1,1,3,0,0,10/2/2024 16:37,,59:59.0,181,5.198497031
0,0,0,0,0,5/19/2025 13:52,,59:59.0,43,3.761200116
4,1,7,1,1,12/4/2024 16:39,,59:59.0,181,5.198497031
0,0,0,0,0,4/2/2025 16:39,,59:59.0,90,4.49980967
4,1,12,0,0,10/16/2024 16:34,29:53.9,29:53.9,100,4.605170186
4,0,4,1,0,4/11/2025 14:39,,59:59.0,81,4.394449155
0,0,0,0,0,3/21/2025 17:38,,59:59.0,102,4.624972813
2,0,2,0,0,4/18/2025 17:39,,59:59.0,74,4.304065093
0,0,0,0,1,3/28/2025 17:29,,59:59.0,95,4.553876892
0,0,0,0,0,10/23/2024 16:42,,59:59.0,181,5.198497031
0,0,0,0,0,12/19/2024 16:41,,59:59.0,181,5.198497031
7,0,7,1,0,3/21/2025 14:41,,59:59.0,102,4.624972813
1,0,1,0,0,3/21/2025 14:40,,59:59.0,102,4.624972813
3,0,3,0,0,1/29/2025 17:12,,59:59.0,153,5.030437921
1,0,1,0,0,3/4/2025 9:11,,59:59.0,119,4.779123493
2,0,2,1,1,2/28/2025 14:42,,59:59.0,123,4.812184355
8,0,8,0,0,2/28/2025 17:31,,59:59.0,123,4.812184355
0,0,0,0,0,1/15/2025 16:34,,59:59.0,167,5.117993812
0,0,0,0,0,10/23/2024 16:39,,59:59.0,181,5.198497031
1,0,1,0,1,5/9/2025 17:23,,59:59.0,53,3.970291914
0,0,0,0,0,2/7/2025 17:32,,59:59.0,144,4.9698133
0,0,0,0,0,1/8/2025 16:27,,59:59.0,174,5.159055299
1,0,1,0,0,10/23/2024 16:37,,59:59.0,181,5.198497031
0,0,0,0,1,4/1/2025 22:53,,59:59.0,91,4.510859507
2,0,2,0,0,2/7/2025 17:32,,59:59.0,144,4.9698133
0,0,0,0,1,3/7/2025 14:42,,59:59.0,116,4.753590191
2,0,2,0,0,1/31/2025 17:39,,59:59.0,151,5.017279837
0,0,0,0,0,3/12/2025 16:41,,59:59.0,111,4.709530201
0,0,0,0,0,1/31/2025 17:34,,59:59.0,151,5.017279837
0,0,0,0,0,1/24/2025 17:30,,59:59.0,158,5.062595033
0,0,0,0,0,5/9/2025 14:40,,59:59.0,53,3.970291914
2,0,2,0,0,1/15/2025 16:53,,59:59.0,167,5.117993812
0,0,0,0,0,10/23/2024 16:48,,59:59.0,181,5.198497031
0,0,0,0,0,3/21/2025 14:40,,59:59.0,102,4.624972813
8,0,8,0,0,12/18/2024 16:34,,59:59.0,181,5.198497031
1,0,1,0,0,12/18/2024 16:34,,59:59.0,181,5.198497031
2,0,2,0,1,1/15/2025 16:37,,59:59.0,167,5.117993812
0,0,0,1,0,10/27/2024 15:14,,59:59.0,181,5.198497031
0,0,0,1,0,2/21/2025 17:26,,59:59.0,130,4.86753445
0,0,0,0,0,1/24/2025 17:30,,59:59.0,158,5.062595033
0,0,0,0,0,4/25/2025 17:09,,59:59.0,67,4.204692619
1,0,1,0,1,2/21/2025 14:37,,59:59.0,130,4.86753445
1,1,3,0,0,10/9/2024 16:35,,59:59.0,181,5.198497031
6,0,6,0,0,4/30/2025 16:34,,59:59.0,62,4.127134385
2,0,2,1,0,12/5/2024 19:19,,59:59.0,181,5.198497031
0,0,0,0,0,11/20/2024 16:40,,59:59.0,181,5.198497031
0,0,0,0,1,5/9/2025 17:25,,59:59.0,53,3.970291914
0,0,0,0,0,2/28/2025 17:30,,59:59.0,123,4.812184355
0,0,0,0,0,1/15/2025 16:47,,59:59.0,167,5.117993812
2,0,2,0,0,3/26/2025 16:31,,59:59.0,97,4.574710979
7,1,12,1,0,12/5/2024 16:40,56:28.9,56:28.9,58,4.060443011
2,0,2,0,0,4/18/2025 14:32,,59:59.0,74,4.304065093
1,0,1,0,0,4/18/2025 17:32,,59:59.0,74,4.304065093
0,0,0,0,1,5/30/2025 17:31,,59:59.0,32,3.465735903
3,1,5,0,1,12/4/2024 16:40,,59:59.0,181,5.198497031
0,0,0,0,0,5/21/2025 16:48,,59:59.0,41,3.713572067
0,0,0,0,0,11/20/2024 16:40,,59:59.0,181,5.198497031
0,0,0,0,1,1/22/2025 16:34,,59:59.0,160,5.075173815
0,0,0,0,0,4/16/2025 16:25,,59:59.0,76,4.33073334
0,0,0,0,1,5/9/2025 14:14,,59:59.0,53,3.970291914
1,0,1,0,1,4/4/2025 14:33,,59:59.0,88,4.477336814
0,1,5,0,0,3/21/2025 14:36,,59:59.0,102,4.624972813
4,0,4,1,0,12/5/2024 16:42,,59:59.0,181,5.198497031
3,0,3,0,0,4/2/2025 16:32,,59:59.0,90,4.49980967
0,0,0,0,0,4/11/2025 17:27,,59:59.0,81,4.394449155
1,0,1,0,1,3/7/2025 17:30,,59:59.0,116,4.753590191
1,0,1,0,0,1/22/2025 16:35,,59:59.0,160,5.075173815
4,0,4,0,0,4/30/2025 16:34,,59:59.0,62,4.127134385
0,0,0,0,0,12/11/2024 16:38,,59:59.0,181,5.198497031
0,0,0,0,0,5/7/2025 16:37,,59:59.0,55,4.007333185
2,1,4,0,0,12/4/2024 16:09,,59:59.0,181,5.198497031
8,0,8,0,1,3/12/2025 16:32,,59:59.0,111,4.709530201
1,0,1,0,0,2/23/2025 17:59,,59:59.0,128,4.852030264
